Model,MAE,RMSE,MAPE,MPE,MAE_Label,MPE_Label,Structured_Explanation,Narrative
Prophet,1404.14,1803.539,9.485,-2.578,low error,slight underprediction,The model is accurate overall and slightly conservative in its forecasts.,Prophet performs well overall. The model is accurate overall and slightly conservative in its forecasts. This suggests the model tracks demand closely while staying slightly conservative.
ETS,2711.084,3479.82,16.798,14.997,high error,slight overprediction,The model has high error and tends to overpredict demand.,ETS is weaker than the other model. The model has high error and tends to overpredict demand. This suggests the forecasts are less accurate and tend to run a little above actual demand.
