Datetime,Actual,Prophet_Forecast,ETS_Forecast,Prophet_Residual,ETS_Residual
2015-10-27 05:00:00,11779.0,12332.548904038113,11516.564108231283,-553.5489040381126,262.43589176871683
2015-10-27 06:00:00,12583.0,12923.876390864714,11864.775037661222,-340.87639086471427,718.2249623387779
2015-10-27 07:00:00,14032.0,13680.506232002805,12653.657277830112,351.4937679971954,1378.3427221698876
2015-10-27 08:00:00,14867.0,14402.480454660516,13161.585885809363,464.51954533948447,1705.4141141906366
2015-10-27 09:00:00,14837.0,14922.708628952414,12960.012022708235,-85.70862895241407,1876.9879772917648
2015-10-27 10:00:00,15147.0,15197.125728580677,12718.988058978712,-50.12572858067688,2428.0119410212883
2015-10-27 11:00:00,14796.0,15306.76355360948,12410.549185162294,-510.76355360948037,2385.4508148377063
2015-10-27 12:00:00,14718.0,15369.593139474233,12050.027241551084,-651.5931394742329,2667.9727584489156
2015-10-27 13:00:00,14689.0,15442.087597873871,11858.981442733062,-753.0875978738713,2830.018557266938
2015-10-27 14:00:00,14609.0,15497.861156300907,11781.31413531678,-888.8611563009072,2827.6858646832206
2015-10-27 15:00:00,14459.0,15494.324332394268,11826.232792904508,-1035.324332394268,2632.7672070954923
2015-10-27 16:00:00,14366.0,15451.662646497402,11899.994720432756,-1085.6626464974015,2466.0052795672436
2015-10-27 17:00:00,14365.0,15456.621015072087,12111.076077745489,-1091.6210150720872,2253.923922254511
2015-10-27 18:00:00,14596.0,15579.106479960084,12391.22817122257,-983.1064799600845,2204.7718287774296
2015-10-27 19:00:00,15098.0,15779.300196611252,12972.161350803572,-681.3001966112515,2125.8386491964284
2015-10-27 20:00:00,15422.0,15898.95843109404,13800.56101990828,-476.95843109404086,1621.4389800917197
2015-10-27 21:00:00,15225.0,15756.238596417965,14001.176588192322,-531.2385964179648,1223.823411807678
2015-10-27 22:00:00,14549.0,15269.39082514368,13814.447681698895,-720.3908251436806,734.5523183011046
2015-10-27 23:00:00,13744.0,14509.863782623202,13375.099886112728,-765.8637826232025,368.9001138872718
2015-10-28 00:00:00,12869.0,13650.807678238602,12805.798212870011,-781.8076782386015,63.20178712998859
2015-10-28 01:00:00,12295.0,12867.32657872805,12310.851239304497,-572.3265787280507,-15.85123930449663
2015-10-28 02:00:00,12031.0,12274.483283814328,12017.089557191852,-243.4832838143284,13.910442808148218
2015-10-28 03:00:00,11753.0,11935.825896509774,11713.149716615892,-182.82589650977388,39.85028338410848
2015-10-28 04:00:00,11606.0,11899.10174740202,11539.783646161652,-293.1017474020191,66.21635383834837
2015-10-28 05:00:00,11870.0,12195.688554956512,11516.043316545056,-325.68855495651223,353.95668345494414
2015-10-28 06:00:00,12490.0,12793.494294393167,11864.254245974997,-303.49429439316737,625.7457540250034
2015-10-28 07:00:00,13757.0,13559.483394673129,12653.136486143883,197.5166053268713,1103.8635138561167
2015-10-28 08:00:00,14547.0,14293.336064167832,13161.065094123136,253.66393583216814,1385.934905876864
2015-10-28 09:00:00,14585.0,14827.59112126156,12959.491231022008,-242.59112126155924,1625.508768977992
2015-10-28 10:00:00,14516.0,15117.808641816022,12718.467267292484,-601.8086418160219,1797.5327327075156
2015-10-28 11:00:00,14599.0,15244.646061527048,12410.028393476066,-645.646061527048,2188.9716065239336
2015-10-28 12:00:00,14505.0,15325.705099935283,12049.506449864855,-820.7050999352832,2455.4935501351447
2015-10-28 13:00:00,14393.0,15417.098897486108,11858.460651046837,-1024.0988974861084,2534.5393489531634
2015-10-28 14:00:00,14433.0,15492.095082371328,11780.793343630552,-1059.0950823713283,2652.206656369448
2015-10-28 15:00:00,14205.0,15507.774656944805,11825.71200121828,-1302.7746569448045,2379.2879987817196
2015-10-28 16:00:00,13988.0,15484.01406589303,11899.473928746527,-1496.0140658930304,2088.5260712534728
2015-10-28 17:00:00,14069.0,15507.272552731312,12110.55528605926,-1438.2725527313123,1958.4447139407403
2015-10-28 18:00:00,13887.0,15647.197429388658,12390.707379536345,-1760.1974293886578,1496.292620463655
2015-10-28 19:00:00,14236.0,15863.738157700043,12971.640559117346,-1627.7381577000433,1264.3594408826539
2015-10-28 20:00:00,14565.0,15998.448974875391,13800.040228222051,-1433.4489748753913,764.9597717779488
2015-10-28 21:00:00,14304.0,15869.316081804762,14000.655796506097,-1565.3160818047618,303.3442034939035
2015-10-28 22:00:00,13804.0,15394.4498866578,13813.92689001267,-1590.4498866577997,-9.926890012669901
2015-10-28 23:00:00,13007.0,14645.191009712758,13374.5790944265,-1638.1910097127584,-367.5790944265009
2015-10-29 00:00:00,12093.0,13794.613015046278,12805.277421183784,-1701.6130150462777,-712.2774211837841
2015-10-29 01:00:00,11518.0,13017.773987928476,12310.33044761827,-1499.7739879284763,-792.3304476182693
2015-10-29 02:00:00,11193.0,12429.72023874772,12016.568765505624,-1236.7202387477191,-823.5687655056245
2015-10-29 03:00:00,11057.0,12094.011292364048,11712.628924929664,-1037.0112923640481,-655.6289249296642
2015-10-29 04:00:00,10930.0,12058.431854059834,11539.262854475426,-1128.4318540598342,-609.2628544754261
2015-10-29 05:00:00,11336.0,12354.420670795906,11515.522524858829,-1018.4206707959056,-179.52252485882855
2015-10-29 06:00:00,12106.0,12949.96780155436,11863.733454288766,-843.9678015543595,242.26654571123436
2015-10-29 07:00:00,13407.0,13712.137961054405,12652.615694457656,-305.1379610544045,754.384305542344
2015-10-29 08:00:00,14350.0,14440.726785532104,13160.544302436909,-90.72678553210426,1189.4556975630912
2015-10-29 09:00:00,14200.0,14968.400447229076,12958.97043933578,-768.4004472290762,1241.0295606642194
2015-10-29 10:00:00,14324.0,15250.85498188713,12717.946475606255,-926.8549818871306,1606.0535243937447
2015-10-29 11:00:00,14363.0,15368.889020370836,12409.507601789835,-1005.8890203708361,1953.4923982101645
2015-10-29 12:00:00,14277.0,15440.24734493766,12048.985658178626,-1163.2473449376594,2228.014341821374
2015-10-29 13:00:00,14144.0,15521.184714553723,11857.939859360606,-1377.184714553723,2286.0601406393944
2015-10-29 14:00:00,14147.0,15585.10572801082,11780.272551944325,-1438.1057280108198,2366.7274480556753
2015-10-29 15:00:00,14057.0,15589.220664686838,11825.191209532051,-1532.220664686838,2231.8087904679487
2015-10-29 16:00:00,13862.0,15553.52471258519,11898.9531370603,-1691.5247125851893,1963.0468629397
