Datetime,Actual,Prophet_Forecast,ETS_Forecast
2015-10-27 05:00:00,11779.0,12332.548904038113,11516.564108231283
2015-10-27 06:00:00,12583.0,12923.876390864714,11864.775037661222
2015-10-27 07:00:00,14032.0,13680.506232002803,12653.657277830112
2015-10-27 08:00:00,14867.0,14402.480454660516,13161.585885809363
2015-10-27 09:00:00,14837.0,14922.708628952414,12960.012022708235
2015-10-27 10:00:00,15147.0,15197.125728580675,12718.988058978712
2015-10-27 11:00:00,14796.0,15306.763553609479,12410.549185162294
2015-10-27 12:00:00,14718.0,15369.593139474231,12050.027241551084
2015-10-27 13:00:00,14689.0,15442.087597873873,11858.981442733062
2015-10-27 14:00:00,14609.0,15497.861156300909,11781.31413531678
2015-10-27 15:00:00,14459.0,15494.324332394268,11826.232792904508
2015-10-27 16:00:00,14366.0,15451.662646497402,11899.994720432756
2015-10-27 17:00:00,14365.0,15456.621015072087,12111.076077745487
2015-10-27 18:00:00,14596.0,15579.106479960083,12391.22817122257
2015-10-27 19:00:00,15098.0,15779.300196611253,12972.161350803573
2015-10-27 20:00:00,15422.0,15898.95843109404,13800.56101990828
2015-10-27 21:00:00,15225.0,15756.238596417963,14001.176588192322
2015-10-27 22:00:00,14549.0,15269.39082514368,13814.447681698897
2015-10-27 23:00:00,13744.0,14509.863782623202,13375.099886112728
2015-10-28 00:00:00,12869.0,13650.807678238602,12805.798212870011
2015-10-28 01:00:00,12295.0,12867.32657872805,12310.851239304497
2015-10-28 02:00:00,12031.0,12274.483283814328,12017.089557191852
2015-10-28 03:00:00,11753.0,11935.825896509774,11713.149716615892
2015-10-28 04:00:00,11606.0,11899.10174740202,11539.783646161653
2015-10-28 05:00:00,11870.0,12195.688554956512,11516.043316545056
2015-10-28 06:00:00,12490.0,12793.494294393167,11864.254245974995
2015-10-28 07:00:00,13757.0,13559.483394673127,12653.136486143885
2015-10-28 08:00:00,14547.0,14293.336064167832,13161.065094123136
2015-10-28 09:00:00,14585.0,14827.59112126156,12959.491231022008
2015-10-28 10:00:00,14516.0,15117.808641816022,12718.467267292484
2015-10-28 11:00:00,14599.0,15244.646061527048,12410.028393476066
2015-10-28 12:00:00,14505.0,15325.705099935283,12049.506449864857
2015-10-28 13:00:00,14393.0,15417.098897486108,11858.460651046835
2015-10-28 14:00:00,14433.0,15492.095082371328,11780.793343630552
2015-10-28 15:00:00,14205.0,15507.774656944805,11825.71200121828
2015-10-28 16:00:00,13988.0,15484.01406589303,11899.473928746529
2015-10-28 17:00:00,14069.0,15507.272552731312,12110.55528605926
2015-10-28 18:00:00,13887.0,15647.197429388658,12390.707379536343
2015-10-28 19:00:00,14236.0,15863.738157700043,12971.640559117346
2015-10-28 20:00:00,14565.0,15998.448974875393,13800.040228222053
2015-10-28 21:00:00,14304.0,15869.316081804762,14000.655796506095
2015-10-28 22:00:00,13804.0,15394.4498866578,13813.92689001267
2015-10-28 23:00:00,13007.0,14645.191009712758,13374.5790944265
2015-10-29 00:00:00,12093.0,13794.613015046278,12805.277421183784
2015-10-29 01:00:00,11518.0,13017.773987928476,12310.33044761827
2015-10-29 02:00:00,11193.0,12429.720238747721,12016.568765505624
2015-10-29 03:00:00,11057.0,12094.011292364048,11712.628924929664
2015-10-29 04:00:00,10930.0,12058.431854059834,11539.262854475426
2015-10-29 05:00:00,11336.0,12354.420670795906,11515.522524858829
2015-10-29 06:00:00,12106.0,12949.967801554361,11863.733454288766
2015-10-29 07:00:00,13407.0,13712.137961054405,12652.615694457656
2015-10-29 08:00:00,14350.0,14440.726785532104,13160.544302436907
